,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ITGB2,27.281950601311745,0.3434181307496524,0.454484070934575,0.7556219298147612,0.4498759038285387,0.999840373752932
PTTG1IP,5.64036884384556,-0.5820673568864673,0.5679117608253721,-1.0249256962745803,0.30539824887365696,0.999840373752932
SUMO3,12.1227462929968,0.2940628580615673,0.4453213312160933,0.6603385857545472,0.509036573796193,0.999840373752932
PFKL,3.989445617577132,0.16844231070875876,0.5001931588772257,0.3367545271647819,0.7363019548647056,0.999840373752932
CSTB,26.76090661441211,-0.46199986417599354,0.3819641301898397,-1.2095373037944044,0.2264564885227216,0.999840373752932
RRP1B,4.631513334934754,0.7347982546766291,0.5224426467997436,1.4064668326326029,0.15958554678450576,0.999840373752932
U2AF1,3.878049698984283,-0.3288378844885382,0.6069269063269539,-0.5418080514482776,0.5879507442411602,0.999840373752932
PKNOX1,3.5176895625446334,-0.15968408435143264,0.5508999213905353,-0.2898604231933297,0.771923020087572,0.999840373752932
ABCG1,5.687065729945797,1.0317137287412792,0.48974441563989907,2.106637045352001,0.03514905302434976,0.999840373752932
ZBTB21,3.6872584674253406,0.29958839261236536,0.7107500340190933,0.4215102050973906,0.6733825608274431,0.999840373752932
MX1,7.421346045748468,-0.3898810684041926,0.4985863602293368,-0.7819729930535153,0.43423044550754186,0.999840373752932
MX2,6.1254113538792305,-0.8352194871349106,0.5690203919446876,-1.4678199568216868,0.14215313504054358,0.999840373752932
WRB,2.9088630685083356,0.320687424274676,0.7352261212194567,0.4361752323799094,0.6627095963624762,0.999840373752932
HMGN1,48.08177511184659,-0.008688096915334557,0.27907647984287726,-0.031131598478761232,0.9751645899344512,0.999840373752932
DSCR3,5.114189009312481,0.12217017022447549,0.6002113466163451,0.20354525270673798,0.8387088793449058,0.999840373752932
TTC3,15.911073987316927,0.09593236639519236,0.3839878235856053,0.24983179284018478,0.8027174320600774,0.999840373752932
KCNAB2,6.824693477977189,-0.46270646943279287,0.45471295709239684,-1.0175792490970776,0.30887795295689136,0.999840373752932
LRRC47,2.2448727601260936,0.039396144416676285,0.6015065163421581,0.0654957898980871,0.9477792583151724,0.999840373752932
WRAP73,4.563840046409174,-0.09660921453858343,0.6279964602420847,-0.15383719599524778,0.8777381047522482,0.999840373752932
TNFRSF14,11.908105279821664,0.16372244212738504,0.3462042886668326,0.4729070305796883,0.6362795088120835,0.999840373752932
RER1,8.83447689710636,0.2181042306146009,0.4414546956356455,0.4940580149465964,0.6212652079733512,0.999840373752932
FAAP20,10.458196681378,0.40034011847906764,0.5082339145948424,0.7877083897445406,0.4308672970238292,0.999840373752932
GNB1,7.751017218484933,-0.03084731540173927,0.555865045821308,-0.05549425284722013,0.9557447084600671,0.999840373752932
CDK11B,4.193228762979644,0.0027292301068243103,0.772713777101403,0.0035320065303638994,0.9971818723801589,0.999840373752932
SSU72,10.187642930428748,0.7792982569332404,0.46152615553100806,1.688524577846775,0.09131057505836473,0.999840373752932
MRPL20,10.29623127896664,0.010775647597629508,0.37769634786847184,0.02852992267053108,0.9772395028978748,0.999840373752932
CCNL2,5.856543909809279,-0.28508647693292255,0.5150277872051768,-0.5535361081776928,0.5798963624601216,0.999840373752932
