,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-138A9.2,18.242385846640108,-2.841508646391043,0.6074260609378991,-4.677949842987636,2.89757396769346e-06,0.007241037345265957
PPP1R14B,9.021686692267302,-2.5456126014150406,0.5991328865247756,-4.2488280290882905,2.1489180249956583e-05,0.021942192748034387
FKBP1A,29.153547435208086,1.2599961444344436,0.2997856293304032,4.202990474389158,2.6341167764747163e-05,0.021942192748034387
ELL2,12.534106421586698,-1.7052984958788888,0.4274896226737948,-3.989099162718515,6.632469295777651e-05,0.030694462657611474
PPP2R5C,50.34024820091761,-1.3565597017013782,0.3422176510441566,-3.9640261031607062,7.369618885380906e-05,0.030694462657611474
UCP2,21.966493314340052,1.6310987920481133,0.40965095688366315,3.9816794386527685,6.843003089741159e-05,0.030694462657611474
CCL3,80.48496395073488,1.6525352452703488,0.4219701163972919,3.9162376221790534,8.99416013998848e-05,0.03210915169975888
IPCEF1,11.236647293808112,-1.8569769644190501,0.48340390045066695,-3.841460448887216,0.00012230444510459243,0.03820485103954706
HECA,10.868732166801424,-1.951828981518733,0.5191788430448316,-3.759454006391764,0.00017028457807646824,0.047282351179232684
SIT1,15.822303534890663,1.6859648354783068,0.4559089728425192,3.6980295100721245,0.00021727963380719598,0.0475959302088293
NEAT1,118.9147388169155,-1.8979006517440908,0.5114952243480628,-3.7104953504954037,0.00020685409598447297,0.0475959302088293
GLUL,37.44070435264967,-1.6754180382607053,0.45463817800906897,-3.6851679407955147,0.00022855188575668332,0.0475959302088293
CCL5,638.2138300670335,0.8403638919109068,0.2294632469761092,3.6623028000575717,0.0002499581553293853,0.04804964847447184
TOB1,39.8828846813139,-1.493258785966367,0.4123369788314269,-3.6214525076026387,0.0002929535901717373,0.048806068122611436
NUFIP2,11.768660521581495,-1.479096437152416,0.40718091706033716,-3.632528871516932,0.0002806571624563589,0.048806068122611436
