,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IFI6,51.54391236372548,1.4667905633632767,0.4381170813209193,3.3479419677975475,0.0008141405748625871,0.4109857208610642
ATP2B1,28.577509696701334,-1.3327583673958787,0.40613462687812185,-3.281567931403766,0.0010323165492453377,0.4109857208610642
EIF4A2,124.69166697081964,-0.9956129223317122,0.29954919974534766,-3.323704163383181,0.000888303742206529,0.4109857208610642
NCK2,6.549884410426992,-2.0294703578546005,0.6257742722741563,-3.243134861519962,0.0011822223736482327,0.4109857208610642
PPP2R5C,72.42533267805916,-1.0484671323137476,0.3008090502200026,-3.4854906511188095,0.0004912353883971661,0.4109857208610642
CCNL1,82.68722996106351,-0.9164288730606108,0.2836595100336127,-3.230735584899012,0.0012347210497971888,0.4109857208610642
FKBP1A,53.45481387638101,1.001452978951002,0.26867680598835947,3.72735180942411,0.000193502266352773,0.4109857208610642
ZBP1,9.828554306084584,1.2125819590313098,0.3945684675421194,3.073185159941523,0.0021178703466743255,0.6168297384688973
CLDND1,22.589054404337183,-1.2582403851346007,0.41768309280239296,-3.0124283381752246,0.0025916661894263165,0.6709535801514798
MAPKAPK3,10.749076653873269,1.2375387339961328,0.4201709911725186,2.945321690444855,0.0032261904192145163,0.7490147838259889
PRF1,41.38816692762599,1.076595483232205,0.3725787292635378,2.889578493544896,0.0038575868694900716,0.7490147838259889
TRA2B,53.76256497706388,-1.0022645008263609,0.3437045390050154,-2.9160641978363153,0.0035447755432045334,0.7490147838259889
CTA-29F11.1,12.478138051380729,-1.213355846703407,0.48550119899300653,-2.49918197775838,0.012448037070782417,0.8002999913459308
HSP90AB1,562.5597939648997,-1.1704944342983807,0.5250098222036712,-2.229471497095728,0.025782549726216946,0.8002999913459308
SRSF3,96.81046919812529,-0.6592982337152917,0.31786734269225714,-2.0741301328132673,0.03806722675109711,0.8002999913459308
ISG15,82.83035635253097,0.9776214886834318,0.45199717690043834,2.1628929087288813,0.03054941731837824,0.8002999913459308
PSME2,87.55523657268006,0.702165058974141,0.30212584794236297,2.3240813844835086,0.020121132564158737,0.8002999913459308
PPP2R3C,12.407474482123073,0.7797692285902437,0.36828256683801797,2.1173123541663874,0.03423334709157952,0.8002999913459308
PKM,54.26890816986937,0.6524731470802693,0.32833238195064485,1.9872336173601952,0.04689651409873569,0.8002999913459308
VAMP5,25.73953100654188,0.7485123954784025,0.3854450971549259,1.9419429667243768,0.0521440050956908,0.8002999913459308
UBL3,13.69137561171615,-1.061379809676022,0.4238274520847534,-2.5042733887463626,0.012270318025570753,0.8002999913459308
MAP3K2,13.73039905790417,-0.8191464769925209,0.4096581997805791,-1.9995852089162909,0.04554507242170176,0.8002999913459308
SCAMP2,24.531281564003066,0.8243920530867356,0.33785171295882116,2.440100261345178,0.014683186112687588,0.8002999913459308
AGTRAP,19.28326207832254,0.8793512446605345,0.43255255441300344,2.0329350403533284,0.04205908632139847,0.8002999913459308
RSBN1L,17.520220729798833,0.8940869770658271,0.3990366894007937,2.2406134593999787,0.02505112411519497,0.8002999913459308
