,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ADIRF,3.331784762894642,-4.420265542306242,0.9617274365663214,-4.596172859628528,4.303217421145133e-06,0.018762294734795047
MGP,38.82879386169007,-3.3175191847459904,0.7526578734525182,-4.407738631004007,1.044554878899624e-05,0.018762294734795047
AGR2,11.970715256526711,-7.109535958975549,1.5771301646988622,-4.507894223387101,6.547420137904717e-06,0.018762294734795047
FABP4,3.3683144373594742,-4.465664629540962,1.0044414150168195,-4.445918460526823,8.751714148704362e-06,0.018762294734795047
CRABP2,5.085423816509877,-4.51619105777145,1.012791406814167,-4.459152227582147,8.228446678376797e-06,0.018762294734795047
GABPB1-AS1,23.25878570663828,-1.230116985257631,0.2924790588949911,-4.2058292648544136,2.6012656312948515e-05,0.0389366110577651
CLU,5.856426116476611,-3.115032443486818,0.7540620255775634,-4.131002938519417,3.611839643718485e-05,0.046339902628908164
MT1E,26.035736193406866,-2.118156451485035,0.5204464138986855,-4.069883843790637,4.7036583416552524e-05,0.05280444445800728
APOD,3.5071237412021348,-3.931933142569152,1.0020297200889852,-3.923968584704231,8.710209876818416e-05,0.08691821655967355
IFIT3,4.272317023030634,-2.1370638013655836,0.557647765722181,-3.8322825495373087,0.00012695980389273865,0.11402259987606858
IPCEF1,25.383531392662977,-1.6457897412165114,0.4324255942056461,-3.805948961554373,0.000141261513498328,0.11533360479349854
RP11-473M20.9,3.039490740682153,-3.037811469247778,0.810772615067351,-3.7468106504749508,0.000179097171775624,0.13403930830973992
AIM1,54.98070208012182,-1.5958532419974754,0.4435565811658169,-3.5978572064087797,0.00032084967793702347,0.22165776596556983
KRT19,4.329984062730448,-2.5396797899187034,0.7611473924953331,-3.3366465088879287,0.0008479572282936151,0.5439645619503541
PRSS23,3.7435073715183687,-3.1570346145900845,0.9536363643523817,-3.3105224722990085,0.000931219745470018,0.5575523022710821
GPR171,27.428908502415062,-2.326227527654359,0.7107520783452534,-3.272909919687039,0.0010644639616846274,0.5974969274931025
CEBPD,3.5378797567190543,-2.323431263688761,0.7300564888567129,-3.1825362819900596,0.0014599122332127437,0.7712630450872735
RP11-138A9.2,39.00494006284633,-1.738788981987056,0.5590655211605713,-3.1101703041487543,0.0018697950376058935,0.9329238462632516
PRMT2,33.69284065144297,0.2335628098947063,0.2925430607116654,0.7983877974289367,0.42464548232553023,0.9996583613267539
YBEY,8.479707522519941,0.2697076867358077,0.44741698013479936,0.6028105742758114,0.5466347114319736,0.9996583613267539
ATAD3A,1.6460460736371547,-0.20195415802453048,0.7153005850714763,-0.2823346747358668,0.77768690000869,0.9996583613267539
SSU72,28.6587487512697,0.4217487941266115,0.4016786642415232,1.0499656358970075,0.2937339124239484,0.9996583613267539
RP5-832C2.5,1.3809765243326624,-0.5862613767759804,0.6116792290494926,-0.9584457816018869,0.3378380189941115,0.9996583613267539
MIB2,5.686515181280429,0.02042444850650509,0.4292320122728974,0.04758370280527824,0.9620480205934296,0.9996583613267539
CDK11B,6.553384263644078,0.10357304152082297,0.5362848732778389,0.19313064134696142,0.8468566560553688,0.9996583613267539
SLC35E2B,3.8864517542888124,-0.30697835105536947,0.5083058135642398,-0.6039245329555404,0.5458938173023473,0.9996583613267539
CDK11A,9.648170967398974,-0.1562088361996873,0.47014393561426115,-0.33225747343862777,0.7396948487872843,0.9996583613267539
NADK,2.6131614918766717,-0.22013261410485332,0.5962587396014052,-0.3691897484840397,0.7119862965178045,0.9996583613267539
GNB1,14.374716102017896,-0.12364017485032279,0.5439984897802939,-0.22728036414266095,0.8202057407475638,0.9996583613267539
PRKCZ,4.208706663057267,0.3955733165192818,0.5209599980199721,0.7593161049269596,0.4476634858309114,0.9996583613267539
FAAP20,22.134624910423796,0.13412789682596177,0.46831513005476416,0.2864052178076694,0.7745677787850653,0.9996583613267539
SKI,7.084569368883479,-0.3355477166278615,0.514234956689726,-0.6525182939485014,0.5140668752729661,0.9996583613267539
RER1,27.594590875084542,0.21457337632770174,0.33825417950528464,0.6343554324784016,0.525848888019204,0.9996583613267539
PCNT,2.922878863046957,0.42527998174356685,0.5174293218518895,0.8219093193665206,0.41112850857096295,0.9996583613267539
LSS,1.2058857239819367,-0.6212880746166314,0.6171276472162855,-1.0067415994391316,0.3140589657452135,0.9996583613267539
AGPAT3,5.536550260794907,-0.090666897511277,0.5264437038596482,-0.17222524810639414,0.8632604493260269,0.9996583613267539
TRAPPC10,5.600897288111721,0.24292326445562207,0.7113814930767574,0.3414810011502659,0.7327415051490808,0.9996583613267539
AP001055.6,2.672153053028431,-0.33837892937173913,0.6465311363625649,-0.5233760763255513,0.600712569187477,0.9996583613267539
PFKL,17.657115425400434,-0.236764204513315,0.46075621243364034,-0.5138600373129306,0.607349849159272,0.9996583613267539
C21orf2,4.806093909628685,-0.06332532595104322,0.4726655015085559,-0.1339749267694269,0.8934224012060525,0.9996583613267539
UBE2G2,12.401042154781958,-0.33510364065722814,0.3198860951234437,-1.0475717630924595,0.29483595269479934,0.9996583613267539
SUMO3,29.940993596935222,-0.07839975314017603,0.38066801707271425,-0.20595308674224735,0.8368275569942379,0.9996583613267539
