,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LMNA,263.6245924998832,-2.1373877488764474,0.44709268799181484,-4.780636781327942,1.747408209813154e-06,0.017278372378632466
JMY,35.43029732047083,-2.103914708760959,0.4645982420720988,-4.528460330322262,5.9415032728482415e-06,0.029374792180961704
AF131217.1,8.81932369189081,1.6984284343954381,0.429757632612391,3.9520611282017475,7.748094101133164e-05,0.13703347560205292
DENND4A,20.935505252464566,-1.7172476259324845,0.4521149690371093,-3.7982543015326127,0.00014571877827046067,0.13703347560205292
IFI27,96.98051442601178,3.989619793688735,1.0222018508171296,3.9029667090697453,9.502077646062565e-05,0.13703347560205292
CSNK1G3,37.50856417703499,-1.011168267995848,0.2673748855793322,-3.781837122828152,0.00015567521274414785,0.13703347560205292
PRNP,87.89372848889307,-1.0323121852991333,0.25370466946601883,-4.068952248580514,4.7225023720752836e-05,0.13703347560205292
CYP7B1,7.686007943458741,-1.8310380138585083,0.48850664679472167,-3.7482356194591144,0.0001780829209325271,0.13703347560205292
IFIT3,15.268973566277376,2.7452320250729767,0.7167569676600909,3.8300737194575185,0.0001281048750228888,0.13703347560205292
KLF11,4.621240888299871,-2.2194575033570243,0.5856870013354464,-3.7894942149925774,0.00015095432664861573,0.13703347560205292
ELL2,31.922929429600792,-1.5111437112141197,0.40069524407127144,-3.7713043355846105,0.0001623964683361077,0.13703347560205292
CD55,49.373829126156856,-1.5632638013282307,0.4075357502218813,-3.8358936620336195,0.0001251085346808838,0.13703347560205292
FIBP,57.48355247157547,0.8149712002377977,0.2175969994687489,3.745323704956893,0.00018016132512405826,0.13703347560205292
CLK4,29.80542574904158,-1.0492209652884406,0.28499818863177817,-3.681500469618947,0.00023186536214779885,0.1568888045963058
CCR1,6.045298925824933,2.4545165340131034,0.6679247895188468,3.6748397013101797,0.00023799879338031824,0.1568888045963058
USP18,21.489132618363477,1.6236704349198887,0.45000951891318,3.608080199817156,0.00030847114446953496,0.16053487771130326
NKG7,29.517850462638958,1.9708442234263357,0.5443991480675742,3.6202191543137796,0.00029435359452704415,0.16053487771130326
ZNF92,11.343776728936625,-1.3059376070175104,0.3600736415570802,-3.6268625533660126,0.00028688590380578625,0.16053487771130326
PPP2CA,61.09278954786749,-1.2013039405986932,0.33042541025681677,-3.6356282032456364,0.00027730404022596565,0.16053487771130326
NFKB1,26.362556538926427,-1.4122505776506094,0.39615625473880794,-3.5648826965555007,0.000364018956324992,0.1624147800281961
ATP1A1,54.493072307308886,-0.9831472416169164,0.27608531562635097,-3.5610269216472585,0.000369407201090669,0.1624147800281961
B3GALT4,11.286947035867659,1.6289832933187078,0.45820575947928727,3.5551349139956514,0.0003777851881723817,0.1624147800281961
CISH,28.97178457440524,1.6962962745352541,0.476270998214126,3.561619919952839,0.00036857369301969786,0.1624147800281961
NFE2L2,103.3906771622588,-0.9282083077631443,0.2688723126511964,-3.4522271877331367,0.0005559793856588739,0.18337366358370996
OAS1,61.205557252342594,1.2533357375424734,0.3610415030985671,3.4714450465831987,0.0005176652734046029,0.18337366358370996
LUC7L,23.660369496419452,-0.9375940882605066,0.2711598936220411,-3.4577166841914364,0.0005447739537677184,0.18337366358370996
FAM179B,16.645467007314416,-0.9823549860018694,0.2829006311521793,-3.4724382975074954,0.0005157535542082952,0.18337366358370996
IRF8,4.269321747416385,-1.927314915002204,0.5582979099880835,-3.452126329907524,0.0005561872558080269,0.18337366358370996
ZBTB10,8.31479697983935,-1.9406900205064659,0.5548596816969554,-3.497623064936265,0.0004694240790404893,0.18337366358370996
MT1E,69.24152279457627,2.1793510733606998,0.6313214970027528,3.4520463562659223,0.0005563521346593142,0.18337366358370996
MZB1,22.878690359120235,1.7184237059556202,0.5009857900057958,3.4300847254285194,0.0006033928083229416,0.1924628415708789
C6orf203,11.483655175394718,1.84240175709879,0.5426573531617582,3.395147502128469,0.0006859163605062018,0.19948061684368598
HECA,20.64453072802572,-1.55522862896479,0.45796480586479793,-3.3959566522322033,0.0006838918935743954,0.19948061684368598
CEP120,15.84364911647096,-1.3645602105179855,0.4001494792662477,-3.410126168401302,0.0006493283343229132,0.19948061684368598
ZBP1,21.476676007269223,1.366795810139831,0.40352264702270685,3.3871601017301,0.0007062016330749184,0.19951204993842267
NAF1,25.116456950015543,-1.353656104903504,0.4026615738315506,-3.3617712562505218,0.000774442492032972,0.20211315913886976
GZMB,38.69447286664676,3.0343136253260248,0.9001096245704259,3.3710489728116615,0.0007488254480410671,0.20211315913886976
FAM13A,12.242788702967115,-1.385050965168524,0.41210018312339497,-3.3609569271989357,0.000776729373713294,0.20211315913886976
CAP1,159.62675558645307,0.7764660125131506,0.23163196578082,3.3521539650009955,0.0008018541163150414,0.20330085902879821
ZC3H12D,40.98965140606087,-1.4864655046837618,0.4447896729755291,-3.341951477289677,0.0008319160226810586,0.20564964080675766
AP2S1,88.19592448253769,0.9133252015328444,0.27540170380397194,3.3163382394429184,0.0009120536984336599,0.21113291909465337
NMI,34.04284387154162,0.9251558269880005,0.2791259282540099,3.314474698839483,0.0009181548868396132,0.21113291909465337
SNRNP25,25.243276582599307,1.0829299625936188,0.3263962275011061,3.317838477743892,0.0009071692750622648,0.21113291909465337
HIPK3,12.380139989694113,-1.3134040127064328,0.4011546181049381,-3.274059311372204,0.0010601435679944379,0.21303954461117053
SPINT1,4.193901896721331,2.074593585176956,0.6383775519325839,3.2497909409509504,0.0011548987547683517,0.21303954461117053
TOPORS,42.7290546827973,-1.0866875220884649,0.3350153647216215,-3.243694577982833,0.001179901904025752,0.21303954461117053
SAMD9L,64.90185386040982,1.1135831773332412,0.34195294842401286,3.256539188989319,0.0011277936098020242,0.21303954461117053
PPP2CB,6.4096241688446804,-1.7960314208172043,0.5538991974066417,-3.242523963252214,0.0011847598447110492,0.21303954461117053
GZMH,5.365396751507536,2.1899563356693275,0.6653011526631676,3.291676749548743,0.000995920123253642,0.21303954461117053
VANGL1,3.938672727142891,2.0598683471615624,0.6337962787257672,3.250048030106583,0.0011538551892044844,0.21303954461117053
DNAJA1,728.3884430761932,-1.674374569898806,0.5163888050457943,-3.242468762951434,0.0011849893763768587,0.21303954461117053
IFIT1,14.328097373746143,2.3261732753517395,0.7122418561028095,3.2659878879906272,0.0010908291503056232,0.21303954461117053
TRIM28,18.523629836456454,-1.2748328702519636,0.3877707086259161,-3.287594554961086,0.0010104724968870587,0.21303954461117053
TESC,26.80502619264496,1.4349038154475293,0.43884055570244246,3.2697611850178934,0.0010763831607382404,0.21303954461117053
HSH2D,16.230685158077332,1.5038388214349379,0.4594275286646789,3.2732884461795946,0.0010630393409336205,0.21303954461117053
WBP4,22.83574978599106,1.3604430559999028,0.42373853060777544,3.210571986570577,0.0013247108385963774,0.2157772955154986
APOL2,9.704750587845734,1.274283185560062,0.39513791908491613,3.2249073652843108,0.0012601343607470158,0.2157772955154986
ATP13A3,19.29326462007887,-1.749351371654529,0.5444887644265552,-3.2128328185006922,0.0013143277061929651,0.2157772955154986
TEX264,59.35072866964319,0.6711613245542437,0.20913807748301538,3.2091780350651375,0.001331150386978703,0.2157772955154986
HSP90AB1,1050.3175052689073,-1.3135563572381084,0.4080697871837639,-3.218950283733163,0.001286607902514005,0.2157772955154986
TMEM106C,41.445535465928614,0.824326575404077,0.25548490859424633,3.2265176833331024,0.0012530648872782983,0.2157772955154986
SLC35A4,14.897890241590549,1.0465519472305052,0.32816939497947134,3.189060172097926,0.0014273616326135813,0.22402780671877925
PTGER4,68.1945054901219,-1.2209934473046777,0.3824517686098017,-3.1925422955761054,0.0014102628954539092,0.22402780671877925
UBE2S,40.101041817739926,-1.6382015861709869,0.5147397533234953,-3.1825822186720374,0.0014596806622859742,0.22552066232318302
ZBTB1,36.147404535299884,-1.1806648072702626,0.37261078293638455,-3.168627590339586,0.0015316050655522857,0.23299247520278463
TSC22D2,21.08722351069413,-1.2765862092240148,0.4079942962025892,-3.1289315098418116,0.0017544319707739077,0.23526731496105802
ACBD3,11.826413439873,-1.6689393127526668,0.5375149471050407,-3.104917029268256,0.0019033240709062874,0.23526731496105802
GPATCH2,24.08940714094752,-0.8780748649133475,0.2831359221950467,-3.1012485385321726,0.0019270646959389747,0.23526731496105802
GLS,45.758680403195676,-1.4681466474519305,0.4733302590763748,-3.101738414773596,0.0019238788092952464,0.23526731496105802
MYD88,21.007169651362517,1.0563642009356622,0.3420753904353697,3.088103472135763,0.002014383199770497,0.23526731496105802
SLA2,35.01644682159197,1.1668671349583468,0.3763893638396157,3.100159693820583,0.001934163303029536,0.23526731496105802
IFI6,221.32717075415655,1.1611952804842804,0.3755055940139297,3.0923514828948324,0.001985775719258952,0.23526731496105802
ZNF80,5.8882167439841595,-1.8709744073401495,0.6060975624446489,-3.0869195378277308,0.002022423318334338,0.23526731496105802
CHIC1,4.407536513863133,-1.4265340351682902,0.4585643882175585,-3.1108696440934573,0.0018653726553469804,0.23526731496105802
ATP8A1,26.690393821644914,-1.2102566421673624,0.38562048193337817,-3.138465664737312,0.0016983483100562787,0.23526731496105802
MRPS18B,38.82011109049412,0.858291279994348,0.27523634275385134,3.1183791769894755,0.0018184868473818377,0.23526731496105802
MRPL1,36.77955218583858,-1.0495820533249816,0.33571773752108053,-3.126382481530562,0.001769712194032048,0.23526731496105802
HBP1,84.69784389612758,-1.2313133667432865,0.39692935998007445,-3.102096974648329,0.0019215499987029002,0.23526731496105802
PAQR3,4.542483384869053,-1.922090870436291,0.6167499948660559,-3.116482993816198,0.0018302223652187555,0.23526731496105802
PARP9,29.94257759477655,0.9589978863189104,0.30971694690174767,3.096368784182597,0.001959065460085245,0.23526731496105802
NME6,13.659039806535317,1.194182941761036,0.38678381674871076,3.087468735893062,0.0020186900499724486,0.23526731496105802
MIR22HG,10.034787543299363,-1.7597681333314439,0.5641368787973549,-3.1193992087221356,0.0018122024928102663,0.23526731496105802
MAP3K2,34.70897957803882,-0.9844515795028443,0.31695220377369987,-3.1059937990074085,0.0018964069249100793,0.23526731496105802
MX1,89.33069001409207,1.3454150507208695,0.4305750775592342,3.1246932784579964,0.0017799054702874618,0.23526731496105802
HSPH1,388.89413956795437,-1.905381391079435,0.6079611049398083,-3.13405146414437,0.0017241061478259411,0.23526731496105802
MEF2D,19.548699777086135,-1.0372367357407533,0.33721776432534056,-3.075866236809663,0.002098919836500217,0.24132696910830403
ZC3H11A,32.534168510674064,-0.7672659026055652,0.24973218995497076,-3.072354840374847,0.0021237709924575485,0.24137755831517518
KPNA5,7.490452312290737,-1.195065713063369,0.38954354547701825,-3.0678616728200265,0.0021559639134044943,0.242251945178905
CCNL1,174.0855447571438,-0.771701462021881,0.25372321609058085,-3.0415090661091826,0.0023539547632041896,0.24528317076492517
TUBB4B,154.24266232490706,-1.0932533813864607,0.35904210396536623,-3.0449169312240816,0.002327445843327487,0.24528317076492517
FOS,714.1150512531633,-1.274342680812572,0.4223940114804397,-3.0169525281529337,0.0025532979441631794,0.24528317076492517
AHR,62.12368464576131,-1.3101184132530708,0.43570660122972954,-3.006882176114429,0.0026394204380085344,0.24528317076492517
SMURF2,5.324963221917528,-1.6136681479095063,0.5384713655882963,-2.9967575827296313,0.00272867605017615,0.24528317076492517
CCR5,12.086244654239295,1.3837125911427417,0.45333301468702597,3.0523093318011156,0.0022708794912440515,0.24528317076492517
RRAS2,5.973317052168929,-1.2795866096937625,0.41905805654442113,-3.053482899828519,0.0022620161326986844,0.24528317076492517
