,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TOB1,5.7688838842329595,-2.3588216211081505,0.545192329751099,-4.32658621992177,1.5143805822231534e-05,0.06776853105448612
METRNL,9.838211258387295,-2.2168912387384996,0.6286271119110317,-3.5265600174308926,0.0004209957352883069,0.6324251623624839
LTB,10.245719449510887,2.297515296282552,0.6518339665401032,3.524694039001419,0.00042397217588546407,0.6324251623624839
CSTB,16.164171512254494,1.3597743767085422,0.46480611038578273,2.9254657938553086,0.0034394098548943737,0.8902904837598511
BAX,11.389771464656095,1.216026288866376,0.4286379490542856,2.836954337685976,0.00455461253089434,0.8902904837598511
PLEKHF1,3.8344097549833394,1.9810974758957396,0.7243955623408966,2.7348282884199198,0.006241282459271306,0.8902904837598511
LGALS1,56.88617296617873,1.277779889616966,0.5034112091526345,2.538242824921967,0.011141065271631655,0.8902904837598511
ERRFI1,2.2969287348694984,-2.019611537124376,0.753747499017159,-2.6794271818584163,0.007374824182519054,0.8902904837598511
EIF4A3,15.13866788774454,-2.194693678217286,0.7361526556236668,-2.9813023989677063,0.0028702521263839296,0.8902904837598511
GADD45GIP1,6.3586011235403275,1.5763292922338756,0.5348288806796923,2.9473526003879655,0.0032050751191427967,0.8902904837598511
MKNK2,5.552566510031082,-1.9706965118172346,0.7589097900194949,-2.5967467250180176,0.009411128989068923,0.8902904837598511
BCL2L1,3.5280628292781184,1.6560619364417564,0.6517384662617157,2.5409915513207393,0.01105385905783284,0.8902904837598511
CARHSP1,5.121487672674201,1.4841610592374193,0.5535985437763128,2.6809338209478923,0.007341703360365588,0.8902904837598511
USP7,2.3030975620040657,-1.914260669262389,0.7002156941184047,-2.7338157161308816,0.006260507232332975,0.8902904837598511
ARL6IP1,8.602971442229967,-1.7235717067355878,0.5833377709283363,-2.954671877311594,0.0031300175011860346,0.8902904837598511
MIF,21.01652877303102,1.6226566188079676,0.6368121619250756,2.548093010508304,0.010831358857323068,0.8902904837598511
UBC,112.27130740821617,-1.2942684735595427,0.40680894951318824,-3.181514258986537,0.0014650731070442293,0.8902904837598511
INTS6,9.408026239652395,-1.51937546986431,0.5737718821831242,-2.6480479734965265,0.008095803578847894,0.8902904837598511
HSP90AA1,286.68575920736026,-1.673679339001331,0.6129257333573445,-2.730639697298452,0.006321153675950874,0.8902904837598511
DUT,8.841227653059267,1.2854213587260077,0.4636027653922664,2.7726783675209083,0.005559704112543975,0.8902904837598511
MRPS34,6.0873497862564365,1.6245215646400137,0.5322644580910002,3.052094762191077,0.0022725034619502345,0.8902904837598511
LGALS3,9.538609386420122,1.8288918921072752,0.6336809294582888,2.8861400226620826,0.0038999860424564063,0.8902904837598511
SSNA1,6.884088089770713,1.3486324135665415,0.46157519837538463,2.921804330720866,0.0034801009788783897,0.8902904837598511
KCNQ1OT1,5.622620265335132,-1.5734311094779787,0.6108433551747121,-2.5758340434561156,0.009999862925156186,0.8902904837598511
TUBA1A,22.03747184262214,-1.5109329542188112,0.5434203940723388,-2.780412679943844,0.005428985800988437,0.8902904837598511
BCO2,4.179100188576204,-2.2346595369365883,0.7657413938824837,-2.918295334154987,0.0035195083307189455,0.8902904837598511
CREM,65.67110558249543,-1.1633501668966706,0.4499032484001928,-2.5857785446835906,0.009715933289722891,0.8902904837598511
DNM1L,3.106902152737606,-1.693060179571364,0.6422163981469643,-2.6362767821819544,0.008382132886391462,0.8902904837598511
CTDSP2,1.831670655006069,-2.0057713090447504,0.7559292787869324,-2.6533848672503932,0.007968895111482074,0.8902904837598511
TSPAN31,2.515460102135341,-1.7586624426575341,0.6532559333782342,-2.692149206456991,0.007099317625850978,0.8902904837598511
RAB21,4.347540079455912,-1.7374250874242336,0.5998670837917233,-2.896350098828686,0.003775309592272232,0.8902904837598511
UBB,126.71991346690457,-1.2352614932220016,0.4354688896156402,-2.8366239763127186,0.004559327344789742,0.8902904837598511
SRSF7,46.152682337810454,-0.75886809923304,0.28415077416069245,-2.6706529358385143,0.007570387628120678,0.8902904837598511
SKIL,10.774782718223568,-1.3651164674335472,0.4885108710632489,-2.7944443988776695,0.0051988980099669435,0.8902904837598511
PSMB9,31.133302254868344,0.9228640259166568,0.3151462629112179,2.9283673472486758,0.003407471982700875,0.8902904837598511
LCP2,8.895138838342815,1.1681731452438984,0.4360789298799339,2.678811254571581,0.0073884028197785485,0.8902904837598511
CNOT6L,13.43905829470649,-1.3054428906251618,0.45999118491963514,-2.8379737121554522,0.004540092162810161,0.8902904837598511
ARRDC3,7.324448636241878,-1.403072628988346,0.5050829470632455,-2.7779053661311908,0.005471054973825203,0.8902904837598511
MRPL1,5.563924432967667,-1.8448077391125621,0.5841918858885017,-3.157879771484297,0.0015892108614388402,0.8902904837598511
EIF4A2,30.509781268355567,-1.0000347461667156,0.3396488143119486,-2.94431985046837,0.0032366531327783945,0.8902904837598511
ITGB1BP1,5.065988934052284,1.8163206748763723,0.6056499155709371,2.998961327624646,0.002709016897315547,0.8902904837598511
XPO1,3.1268170768044086,-1.7228644879188921,0.6528972887892126,-2.6387986556260885,0.008320037918643245,0.8902904837598511
DNAJA1,76.46335469193033,-1.6132472450391646,0.6291723270079043,-2.564078513610306,0.01034501403337924,0.8902904837598511
CEBPD,12.173826174046333,-1.7282313081344896,0.6649571991382408,-2.5990113504661827,0.009349268183620923,0.8902904837598511
GOPC,3.646304413612356,1.6826193002972132,0.6607315253522716,2.546600602113117,0.010877785233395583,0.8902904837598511
FAM133B,12.28021650064335,-1.2955937934185466,0.5007249080763772,-2.587436279924237,0.009669307771937726,0.8902904837598511
ASCC3,2.3627203172374327,2.1833989884529004,0.806932634346243,2.7058008258915405,0.006813990077861935,0.8902904837598511
PCF11,5.982350724475581,-1.328331501308341,0.5155840723496996,-2.5763625615016825,0.009984589041328651,0.8902904837598511
GLS,5.821580695181514,-1.4512554361019612,0.5681350927752956,-2.5544196346201593,0.010636498052872366,0.8902904837598511
CAPG,9.939713018930071,1.8196274182198136,0.646279598264054,2.8155421014487265,0.004869501612422637,0.8902904837598511
TNFRSF18,17.59576589870993,1.483199163509232,0.578277629519027,2.5648565460553248,0.01032184700311494,0.8902904837598511
CCDC28B,2.6496714895084907,1.9897644693328989,0.7461214556602648,2.6668104157011516,0.007657485439092546,0.8902904837598511
MEF2D,2.2111394543009832,-2.1358309204326833,0.7530867214337489,-2.836102217240566,0.004566782731747142,0.8902904837598511
GADD45A,4.122128788829835,-1.8422377547343738,0.6857501191116003,-2.686456339403952,0.00722143853798399,0.8902904837598511
CD55,22.993827095266298,-0.9517649079426916,0.36899654487923395,-2.5793328451196946,0.009899135397335454,0.8902904837598511
PARP1,7.385055459949943,1.4814436222406937,0.5118284410698882,2.894414423598645,0.003798664381785545,0.8902904837598511
THUMPD3-AS1,10.239254667303529,-1.2162547344855148,0.48865894601444615,-2.4889644288832047,0.012811578325163376,0.9247066613726791
TSNAX,2.6130668860792077,-1.654865399003441,0.6594032092291066,-2.5096411055355747,0.012085392054144885,0.9247066613726791
MATK,24.36418995500928,1.1020992834878367,0.4427368694182205,2.489287338856719,0.01279994692441851,0.9247066613726791
SAMHD1,6.851942120219821,1.2025252257274615,0.4827870196931383,2.490798585454497,0.012745635080880518,0.9247066613726791
RP5-1171I10.5,8.546557401842692,-1.2699016807247505,0.5081249853339264,-2.499191571715775,0.012447700054878755,0.9247066613726791
ALOX5AP,34.84286568857132,0.9325350787404177,0.3730917766508397,2.499479048055076,0.012437605352911012,0.9247066613726791
SKAP1,13.090296167528239,1.1068313218456742,0.4477059275531824,2.4722284288143475,0.0134273688434094,0.9415210252037204
MAPRE1,7.463199198668263,-1.1721876256005967,0.4812590649389041,-2.435668667871027,0.014864292903194312,0.9415210252037204
IDH2,9.868333282576149,1.0506382303278374,0.4316728126248126,2.4338763053882597,0.01493809894736629,0.9415210252037204
NOL7,5.195422128961527,1.2823378978283848,0.5243007574200468,2.4458059228036397,0.01445287762056227,0.9415210252037204
COPS5,4.450541463400541,-1.3174375596175216,0.5409611252734382,-2.4353645725496444,0.01487679228605737,0.9415210252037204
TRA2A,7.981552199424207,-1.1022585584824984,0.44893377413495267,-2.45528098349569,0.014077450563238366,0.9415210252037204
MRPL57,8.502731280722783,1.1296365770435794,0.4605450193811092,2.452825520861371,0.014173907021330858,0.9415210252037204
NUFIP2,4.819653656413803,-1.6223229189043058,0.6626775311767553,-2.4481332813917076,0.014359852561742636,0.9415210252037204
TOR1AIP2,2.3127398860711827,-1.6954296971156642,0.6909437980798171,-2.4537881399722905,0.014136023756660196,0.9415210252037204
MIR22HG,2.549389872279441,-1.8553031652671768,0.7656645291647022,-2.423128007890362,0.015387503508242828,0.9563760861025925
CLSTN1,2.3576050572628593,-0.4495500607819113,0.6909198643156285,-0.6506544159461976,0.5152695950099914,0.9635426337605376
KHDRBS1,8.22411633020374,0.288809097770498,0.4444400113010748,0.649826951729716,0.5158040075143498,0.9635426337605376
KPNA6,2.6968978050981662,-1.426274366522652,0.6004152185834954,-2.37548003844328,0.017526140344941134,0.9635426337605376
CAMTA1,4.380671206623058,-0.7296144846578433,0.6073978256156829,-1.2012135274245948,0.22966838334749662,0.9635426337605376
TNFRSF9,2.610032618677496,-0.4142106701338971,0.6950701242612812,-0.5959264478157786,0.551224363983615,0.9635426337605376
UBE2J2,3.3743465308584084,0.5593610702969058,0.6389500158476908,0.8754379159922316,0.3813356768882793,0.9635426337605376
PRMT2,17.228811907124364,0.7038006965331562,0.4524008112202862,1.5557016678081432,0.11977904981371877,0.9635426337605376
AURKAIP1,9.646287418453428,0.6954856225833446,0.4903152689519002,1.418445776877431,0.15606065882064965,0.9635426337605376
MRPL20,9.744577566311772,0.4354607365783224,0.41309121770904617,1.0541515237078505,0.291813550019967,0.9635426337605376
SSU72,7.423918013794346,0.7810153391403464,0.4510860313683775,1.7314110498414736,0.08337847720153979,0.9635426337605376
MIB2,4.077764921635402,0.6557296923603698,0.6009738851527212,1.091111791311421,0.27522369501740296,0.9635426337605376
NCKAP1L,4.609527152276414,-0.5196411154146068,0.5137477210198715,-1.011471378175724,0.31179087332608846,0.9635426337605376
GNB1,3.8223094137736027,-0.7974703970105905,0.5620451451097676,-1.4188724944058442,0.15593619263823358,0.9635426337605376
NOC2L,3.1969480399992065,0.4332163101959457,0.592144975214092,0.7316051445666915,0.4644096072803553,0.9635426337605376
MX2,3.2660048009791525,0.974033346121191,0.6633260547402366,1.4684080915570694,0.14199340496967913,0.9635426337605376
TUBA1B,36.8529697330641,-0.8629113710533688,0.3729205753993109,-2.3139280264420705,0.020671670470050245,0.9635426337605376
SARNP,1.33449428012101,-0.9547395073479978,0.8080886734052031,-1.1814786406110893,0.23741263370956567,0.9635426337605376
HN1,14.711869664298412,-0.31745974294539503,0.46245527569333683,-0.6864658262778881,0.4924194070036748,0.9635426337605376
GRB2,6.947300170648461,0.4961872277934605,0.4770009801890213,1.0402226586554104,0.2982364667616514,0.9635426337605376
TSEN54,6.964576024807854,0.6240288993520169,0.5068234640744671,1.2312549508566732,0.21822752499034448,0.9635426337605376
LLGL2,2.1887451009736125,-0.8947047121635254,0.7732641441292266,-1.1570492682950575,0.24725223185439216,0.9635426337605376
SAP30BP,5.622311368386014,-0.6317419331759724,0.5319353918035052,-1.1876290671956928,0.23497958080250303,0.9635426337605376
H3F3B,257.42924063427967,-0.23025571271792714,0.3874589904885841,-0.5942711831968995,0.5523307492229598,0.9635426337605376
AGO3,2.6899986554874107,-0.6803669948215126,0.61596988825557,-1.10454586789675,0.26935641809572697,0.9635426337605376
TRAPPC3,3.6545384729894965,0.676551245039179,0.5522511619764028,1.225078898191775,0.22054549497990295,0.9635426337605376
LSM10,5.639143263770344,1.2018223432991697,0.5892038541849168,2.0397394463105254,0.04137628382317224,0.9635426337605376
TAF12,4.443223811663719,0.31905959118186455,0.5033537285611409,0.6338675429978647,0.5261672690443739,0.9635426337605376
EPB41,3.5439211421172545,0.4513222751442345,0.5995095748075585,0.7528191276830035,0.45155861095501104,0.9635426337605376
SRSF4,6.55091618252803,0.48465539530157825,0.46746236102467265,1.0367795050690682,0.2998386291816293,0.9635426337605376
SNRNP40,4.09741708612131,0.4397825583468339,0.5542687324086022,0.7934464504893448,0.4275177567382844,0.9635426337605376
ZCCHC17,4.055918317142993,0.8418192456563054,0.6031851722323015,1.3956232420980337,0.1628279796677523,0.9635426337605376
PIK3CD,3.1220037249320356,0.6399552735260845,0.6417473921299939,0.997207439210682,0.31866383075884286,0.9635426337605376
MRPS15,3.6152044934650607,1.042768263043353,0.6030724587718229,1.7290928276960038,0.08379248262019627,0.9635426337605376
MEAF6,10.698828301792581,0.33557025820301467,0.45485201428383637,0.7377570015411923,0.4606621267134531,0.9635426337605376
SF3A3,3.6026286820181945,0.49474799703148703,0.5647695115518261,0.876017537972367,0.38102049961562656,0.9635426337605376
MACF1,9.347810098573708,-0.34924337664889626,0.49744636990206575,-0.7020724198221674,0.48263400121049294,0.9635426337605376
PABPC4,3.7152731785207447,-1.2875407901073919,0.6461951028494937,-1.9924954312247012,0.04631672597293314,0.9635426337605376
CAP1,24.42024432817654,-0.3162602933304727,0.39035892616712486,-0.8101782030086633,0.41783776313118737,0.9635426337605376
PPT1,2.2460300672064304,0.6867585763043091,0.6589685843091708,1.0421719527407698,0.2973319640303771,0.9635426337605376
SMAP2,7.239080757834052,-1.3396776298716409,0.6586685017571925,-2.0339178604983474,0.04195987785604326,0.9635426337605376
NFYC,2.277240462386448,0.4847357815275922,0.6611645005097478,0.7331545797662582,0.46346415423483867,0.9635426337605376
PPCS,5.585747789898291,0.6705154986531434,0.5174875349958523,1.2957133328023402,0.19507426619428447,0.9635426337605376
SFPQ,19.896167059854967,-0.6867619157671608,0.4711907220581316,-1.4575030526225723,0.1449775693384902,0.9635426337605376
RP4-728D4.2,2.451719009819175,-0.6204745818344547,0.7344029357125277,-0.844869419309254,0.3981837502730766,0.9635426337605376
