,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GADD45B,73.99601413714734,-1.5884214892835264,0.49986813641161215,-3.1776810194109957,0.0014845798308750254,0.43503130960270625
MKNK2,6.8554846333580315,-1.8925143521037255,0.6087722475931412,-3.1087395320434243,0.0018788727657259737,0.43503130960270625
GLS,8.557938637623277,-1.8863771883872498,0.5626264558831954,-3.3528057002333234,0.0007999684396903516,0.43503130960270625
ANAPC11,14.772580533965984,1.4757119035897548,0.4563639965339944,3.233629109214424,0.0012222807510123392,0.43503130960270625
SMAD7,3.856122925994562,-2.206333984170928,0.683922929434129,-3.2259979731874564,0.0012553424598402147,0.43503130960270625
CD55,34.02338606783741,-1.379097126294487,0.44040603816410084,-3.1314219306426,0.0017396203102694543,0.43503130960270625
KRT86,25.147609480400632,2.1808573979333588,0.6807328767869406,3.203690422926253,0.0013567828222665727,0.43503130960270625
GRASP,6.211270967610643,-2.7640096278450352,0.8412947540176471,-3.2854235862583985,0.001018291588534461,0.43503130960270625
MYC,12.90277443215048,-2.9302365434177626,0.776584016138793,-3.773238287837827,0.00016114224531752494,0.43503130960270625
DNAJB9,11.308529924297002,-1.4823166138830794,0.44115639963766556,-3.3600705217028444,0.0007792257925875945,0.43503130960270625
CAPG,14.650758181354556,2.180984755417749,0.700644628403629,3.112825913454834,0.001853052873086085,0.43503130960270625
LMNA,56.08074154749257,-2.5665458281481106,0.7783278346385611,-3.297512582650934,0.0009754530392913102,0.43503130960270625
UBE2L6,17.652685120734798,1.24663936103048,0.39858521940491176,3.127660787050042,0.0017620341275035242,0.43503130960270625
CUL3,3.8728308656930297,-1.9876689578830669,0.731154338371932,-2.7185354084187305,0.006557163708483769,0.6144643581460941
MIDN,11.037699697665532,-1.313696960355629,0.47854347794530205,-2.7451987560172864,0.006047425968078973,0.6144643581460941
STMN1,17.401436518755155,1.4872818918180677,0.538883209996867,2.7599336261130025,0.005781310607152568,0.6144643581460941
FBXO34,8.936371740034946,-1.6936080060277907,0.6224661953307532,-2.720803183742173,0.006512352241137294,0.6144643581460941
CD38,15.712791694656264,1.3763971040711294,0.49104599561694884,2.8029901808726243,0.005063121080993778,0.6144643581460941
CD151,5.794114067442454,1.7908748025371635,0.6153684733228842,2.91024789239973,0.003611421918619961,0.6144643581460941
NCALD,4.8590902620578325,-1.517428648359711,0.556517645239453,-2.7266496603298296,0.006398093053446901,0.6144643581460941
ACP5,9.370771748065945,1.9661073846602908,0.7254756195760848,2.7100943596273313,0.006726406911326232,0.6144643581460941
REL,66.68645270206483,-1.3514406600312991,0.49714484818728183,-2.7184042336132013,0.006559764199800353,0.6144643581460941
DNAJA1,104.91879298477193,-1.9371803864728003,0.6770162958163933,-2.8613497170504787,0.004218414447640109,0.6144643581460941
HSP90AB1,169.1583547192476,-1.7544691050457741,0.6202346991486576,-2.828718076324949,0.004673484832004924,0.6144643581460941
PRNP,17.626089562166648,-1.5166615679885596,0.5597384992745065,-2.709589513593132,0.006736652431502028,0.6144643581460941
SHISA5,15.674651052137278,1.478248496568972,0.5063046341469342,2.9196819402209364,0.0035038879537319873,0.6144643581460941
GOLGB1,12.55287922298856,-1.640197262054445,0.5650717739089152,-2.902635271813862,0.0037003731313206513,0.6144643581460941
EIF4A3,14.273140555048235,-1.7871489190858711,0.6283606310705101,-2.8441452737756423,0.004453073941897446,0.6144643581460941
YWHAB,38.47651266126389,1.0326362362041253,0.3793930154934249,2.7218114040953436,0.006492518308235553,0.6144643581460941
HSP90AA1,403.4334670058533,-2.0534188058593354,0.7218711413570303,-2.8445780530845948,0.004447028890506236,0.6144643581460941
EIF4A2,37.29059074895851,-0.9702309841847454,0.34204830445414147,-2.8365320674022656,0.004560639825732526,0.6144643581460941
KDM6B,22.756089163480556,-1.2384211392856082,0.45405107882866086,-2.727493000303903,0.00638176115777945,0.6144643581460941
SLC38A2,14.84223017986883,-1.5943143588451525,0.548048254787536,-2.909076609436931,0.003624980190655052,0.6144643581460941
TUBB4B,39.763515358229824,-1.5254449397011085,0.5749280396295116,-2.6532797751247585,0.007971376851164952,0.7057013035884266
TUBA1C,6.138101164108772,-1.6933222867857005,0.6441166089209995,-2.628906417461105,0.008565993010984367,0.7162121934184151
HSPD1,61.8344265094345,-1.8324876666167456,0.6960959429866079,-2.632521687677758,0.008475361175259332,0.7162121934184151
EHD4,4.321272882825031,-1.4283196103772502,0.6182730705781042,-2.3101760020725592,0.020878412078093454,0.8143254951871371
SKIL,12.422512299712043,-1.1977660459959423,0.477514045514485,-2.5083367855817533,0.01213009919922228,0.8143254951871371
PLSCR1,10.41601401684028,1.2107979907985982,0.5242831709342365,2.3094351639039634,0.020919445628569924,0.8143254951871371
RAB8B,10.682070072734902,-1.3095119171047211,0.5742291822430201,-2.280469118601014,0.022579880317732733,0.8143254951871371
EIF1,284.6131928331725,-0.6936603239603719,0.31117142219158583,-2.229190325624731,0.025801243961534676,0.8143254951871371
PLK3,4.225134666269077,-1.880554646225163,0.8157965305461653,-2.305176077380662,0.02115671409905634,0.8143254951871371
ARAP2,12.114616045276744,-1.0915751884865954,0.4622999230540566,-2.3611840150770647,0.018216688902120654,0.8143254951871371
UBB,134.52813264028373,-0.9167150579400012,0.394186717750799,-2.3255858623819474,0.020040654505814697,0.8143254951871371
ERO1B,5.912726235583347,-1.4374964591349955,0.6047751866196148,-2.3769104469544597,0.017458326085954996,0.8143254951871371
EIF5,36.83249706925034,-0.9538345555229683,0.42875043076608954,-2.2246847748203087,0.026102407067304562,0.8143254951871371
NCBP2,4.135439130079785,-1.3378939570739128,0.5676485670670942,-2.356905371903772,0.01842794210323155,0.8143254951871371
CHD2,14.464808821339144,-1.3050059844680677,0.5090237270519925,-2.563742935964893,0.010355020613940882,0.8143254951871371
NUFIP2,5.766131480010674,-1.591242751469742,0.6625351347639539,-2.401748477892671,0.01631692329068925,0.8143254951871371
ZC3H7A,3.8573237412154056,-1.398391593994569,0.6068281059329466,-2.304427860744289,0.021198637545294163,0.8143254951871371
CHMP1B,24.39779670562326,-1.0504961829247055,0.44506079092409734,-2.360343135919744,0.018258038157467352,0.8143254951871371
RP5-1171I10.5,9.377608595670207,-1.1385702745113357,0.4811785199866246,-2.3662117638646563,0.017971161826663223,0.8143254951871371
NDUFV2,11.460512272794686,1.1203548397577983,0.4768610624222954,2.349436613815288,0.018801845080137748,0.8143254951871371
JMJD6,13.839746850349538,-1.2344261658497608,0.5189602805844918,-2.3786524942900407,0.017376048131395167,0.8143254951871371
DTX3L,3.649138116554758,1.5591316550652532,0.6719399726985761,2.3203436592760354,0.020322294086288474,0.8143254951871371
SRSF2,63.19855007288817,-0.8340710160836345,0.3690467029775388,-2.2600690084864365,0.023816968237714824,0.8143254951871371
SAFB2,7.977496715707204,-1.215019315235609,0.5004522159882979,-2.427842811798079,0.0151889247003228,0.8143254951871371
STAT4,17.8339707297396,-0.98334187830829,0.44242744919064503,-2.2226059438833805,0.02624238306749246,0.8143254951871371
COQ10B,8.677729547232401,-1.163087372896798,0.4629466690358495,-2.512357147571854,0.011992764844694607,0.8143254951871371
BZW1,27.770878565848943,-0.9211199318108024,0.3889138621400914,-2.3684420162915254,0.017863180171478272,0.8143254951871371
SRSF7,58.54067763205485,-0.8035505834443964,0.31285149805201834,-2.5684728647544746,0.010214770914463805,0.8143254951871371
TOB1,4.054469140849695,-1.4534223075443429,0.6201893570234149,-2.34351378508011,0.019103056299267143,0.8143254951871371
RBM38,5.074366822267274,-1.5921369316330274,0.6647296843087217,-2.39516448447575,0.01661291079193664,0.8143254951871371
ATF4,14.598755416072304,-0.9626152165923506,0.4084840747186354,-2.356555068286081,0.018445332536851003,0.8143254951871371
TUBA1A,24.289337312338088,-1.300076689753896,0.5405676076704483,-2.405021446543047,0.01617151670798912,0.8143254951871371
CNOT2,16.060722283803678,-1.2624186890549027,0.5171324744873337,-2.441190123104179,0.014638945617246829,0.8143254951871371
CCDC59,8.552190970996202,-1.053892311609799,0.44763274564476146,-2.35436822230642,0.01855422113945855,0.8143254951871371
FAM172A,4.3079846280007645,-1.3217957269471017,0.587276799156866,-2.2507201524813514,0.024403267552798844,0.8143254951871371
CD74,144.4010657262259,1.1872151922457428,0.5198728377211277,2.283664592768345,0.02239125046649861,0.8143254951871371
LCP2,12.700200918891872,1.0717599809320486,0.44534191037375376,2.406600313077592,0.016101781269248133,0.8143254951871371
DNPH1,5.068361033842476,1.5134152267807197,0.6540950988143884,2.3137541154549752,0.02068121360461231,0.8143254951871371
RARRES3,47.606551009349985,0.8178374089108054,0.3658613417224819,2.2353753065585225,0.02539271985997745,0.8143254951871371
HSPA5,34.78148259566749,-1.1204602222297133,0.4470165289197477,-2.506529736019824,0.012192280187977573,0.8143254951871371
AMD1,26.92289314483859,-1.386203218439707,0.5823880304299555,-2.3802055434008915,0.01730298357870354,0.8143254951871371
FAM46A,8.368506528557168,-1.365785949310518,0.5668788418004591,-2.4093083893776255,0.01598278622536798,0.8143254951871371
TAGAP,34.955649226487864,-1.194644889656692,0.5087389815975011,-2.348247201158764,0.018861998281185077,0.8143254951871371
CD83,29.441678541951283,-1.7196323688975508,0.6810704921261221,-2.524896304829347,0.01157324326417917,0.8143254951871371
SRSF3,39.70307918358012,-0.8505982733676026,0.34164560502953095,-2.489709397239514,0.01278475823131915,0.8143254951871371
CUL4A,4.26626382477235,-1.3946651906046443,0.6171647726207921,-2.259793903469562,0.023834044963509167,0.8143254951871371
LGALS3,14.953716289141862,1.3230004609806854,0.5925730885426812,2.232636760866662,0.025572907851667,0.8143254951871371
PPDPF,66.42519669709849,1.1776751022199483,0.5248193306448071,2.2439628905685027,0.024834789098296322,0.8143254951871371
FOSB,68.40602797797553,-1.4377985388780699,0.6390028578403757,-2.250065897572613,0.024444762488169534,0.8143254951871371
