source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Activated CD8 T cells,Activated CD8 T cells,ADCYAP1,ADRB2,-0.08136904,0.969,0.006185386,-0.03868753112617002,-0.11324274557454977,0.17488134,,,
Activated CD8 T cells,Activated CD8 T cells,ADCYAP1,VIPR2,-0.04592842,0.61,0.0018971019,-0.023800533260406077,-2.5817363348472737,0.011428454,,,
Activated CD8 T cells,Activated CD8 T cells,ADM,ADRB2,-0.11433311,0.994,0.012925781,-0.06378951924830568,-2.851679514989197,-0.4468224,,,
Activated CD8 T cells,Activated CD8 T cells,ADM,RAMP1,-0.09899737,1.0,0.009048056,-0.05664096939930677,-5.837387988063776,-0.035008997,,,
Activated CD8 T cells,Activated CD8 T cells,APOE,LRP8,-0.17628898,0.997,0.013576787,-0.07293492313091211,-0.3289317442507811,0.012959454,,,
Activated CD8 T cells,Activated CD8 T cells,BTLA,CD247,-0.05465098,0.449,0.002182884,0.004134151297796971,-0.1517284730547508,0.0017220906,,,
Activated CD8 T cells,Activated CD8 T cells,BTLA,CD79A,-0.15021983,0.348,0.0072095776,-0.00998870116849119,-0.11189073085399939,0.0026162693,,,
Activated CD8 T cells,Activated CD8 T cells,C3,C5AR2,-0.13502711,1.0,0.017447285,-0.13185473192176184,-6.052683336207142,0.0017665701,,,
Activated CD8 T cells,Activated CD8 T cells,C3,CR2,-0.1196603,1.0,0.012436311,-0.08671422235216572,-2.4756596355155644,-0.0031100968,,,
Activated CD8 T cells,Activated CD8 T cells,CCL13,ACKR1,-0.0644452,0.655,0.0026015094,0.012261334376893019,-0.9224721377688652,-0.0046957145,,,
Activated CD8 T cells,Activated CD8 T cells,CCL13,CCR2,0.084395885,0.015,-0.0048565906,0.02945430392042223,-2.070039737949719,-0.055834573,,,
Activated CD8 T cells,Activated CD8 T cells,CCL13,CCR3,-0.02457584,1.0,0.0006037434,-0.0314855818929925,-4.781811500708397,0.08326859,,,
Activated CD8 T cells,Activated CD8 T cells,CCL13,CCR5,0.14580792,0.0,-0.007933814,0.13897564441671606,-1.467471839118878,0.028924173,,,
