source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Activated CD8 T cells,Activated CD8 T cells,ADCYAP1,ADRB2,0.012482833,1.0,-0.0027220813,-0.0402432269182463,-0.5914882461578981,-0.0006415704,,1.0,
Activated CD8 T cells,Activated CD8 T cells,ADCYAP1,VIPR2,-0.025380092,1.0,0.0003950409,-0.03155298018224135,-0.8200710802050213,0.0016127389,,0.7895788651579323,
Activated CD8 T cells,Activated CD8 T cells,ADM,ADRB2,-0.018692851,1.0,-0.00684531,-0.08979295583069129,-1.1435755533024508,-0.0005300676,,1.0,
Activated CD8 T cells,Activated CD8 T cells,ADM,RAMP1,-0.08268498,1.0,0.0064029326,-0.12622713581411668,-2.8915505446872234,0.0031920678,,1.0,
Activated CD8 T cells,Activated CD8 T cells,APOE,LRP8,-0.06605675,1.0,0.002114941,-0.18945476151471452,-1.437121375795924,0.00019058485,,1.0,
Activated CD8 T cells,Activated CD8 T cells,BTLA,CD247,0.038289856,0.0,-0.00042091025,0.05338658438282035,0.36890464612523854,-0.02656456,,0.25379311546210725,
Activated CD8 T cells,Activated CD8 T cells,BTLA,CD79A,-0.13368158,1.0,0.0013504045,-0.09869611267855699,-0.7947415430095139,0.04117725,,1.0,
Activated CD8 T cells,Activated CD8 T cells,C3,C5AR2,-0.12277922,1.0,0.014484669,-0.19295527997247505,-4.323947297962425,0.0010446445,,1.0,
Activated CD8 T cells,Activated CD8 T cells,C3,CR2,-0.11045798,1.0,0.010860484,-0.14570666129300608,-3.757699586041657,-0.0025422114,,1.0,
Activated CD8 T cells,Activated CD8 T cells,CCL13,ACKR1,-0.043764073,1.0,0.0014689893,-0.0853739711095528,-2.149608224232751,0.018295407,,1.0,
Activated CD8 T cells,Activated CD8 T cells,CCL13,CCR2,0.073389225,0.001,-0.0038352779,0.01075491908729934,-0.46986477831221474,-0.09021673,,0.42028139164258055,
Activated CD8 T cells,Activated CD8 T cells,CCL13,CCR3,-0.020951651,1.0,0.00043612742,-0.027103467081659602,-2.0175620417160602,-0.09244058,,1.0,
Activated CD8 T cells,Activated CD8 T cells,CCL13,CCR5,0.25728637,0.0,-0.012161459,0.1043786997283673,-0.3307874070614796,-0.09460265,,0.14544476092095396,
Activated CD8 T cells,Activated CD8 T cells,CCL13,CXCR3,0.18902421,0.0,-0.009070802,0.09223847403155196,-0.48483270184688343,-0.061080087,,0.165216320919996,
Activated CD8 T cells,Activated CD8 T cells,CCL17,ACKR1,-0.048481315,1.0,0.0020811933,-0.09248920857611485,-2.590636478921363,-0.010656044,,1.0,
Activated CD8 T cells,Activated CD8 T cells,CCL18,ACKR1,-0.07191157,1.0,0.005121972,-0.14515749856567695,-2.265392192698534,0.0005402713,,1.0,
Activated CD8 T cells,Activated CD8 T cells,CCL18,CCR3,-0.04909915,1.0,0.0015206593,-0.08688699453778373,-2.1333460101818433,-0.0027298103,,1.0,
Activated CD8 T cells,Activated CD8 T cells,CCL19,CCR7,-0.15984422,1.0,0.0051253806,-0.07483733392671789,-0.6818734096581902,0.004120238,,1.0,
Activated CD8 T cells,Activated CD8 T cells,CCL19,CXCR3,0.19187884,0.0,-0.0067831753,0.10226704299377859,0.48683084916637975,0.007402152,,0.009951056680611765,
Activated CD8 T cells,Activated CD8 T cells,CCL2,ACKR1,-0.062384922,1.0,0.003885603,-0.1328611567167226,-1.9325825149939866,0.0005516353,,1.0,
Activated CD8 T cells,Activated CD8 T cells,CCL2,CCR2,0.054768372,1.0,-0.01014464,-0.03673226651987048,-0.25283906907345033,-0.0027201765,,1.0,
Activated CD8 T cells,Activated CD8 T cells,CCL2,CCR3,-0.0395725,1.0,0.0011535945,-0.07459065268882942,-1.8005363324772958,-0.002787229,,1.0,
Activated CD8 T cells,Activated CD8 T cells,CCL2,CCR5,0.23866552,0.0,-0.032168105,0.05689151412119749,-0.11376169782271517,-0.0028524187,,0.2437856971900352,
Activated CD8 T cells,Activated CD8 T cells,CCL20,CCR6,-0.049211185,1.0,0.00023125653,-0.06851716790349824,-0.6464250293726583,-0.0018340952,,1.0,
Activated CD8 T cells,Activated CD8 T cells,CCL20,CXCR3,0.199139,0.0,-0.0009650841,0.09338617994595994,0.6624441435644508,-0.002276875,,0.16322024578299577,
Activated CD8 T cells,Activated CD8 T cells,CCL21,CCR7,-0.17742263,1.0,0.015769443,-0.12964170038019046,-0.8992343790182182,-0.0018134176,,1.0,
Activated CD8 T cells,Activated CD8 T cells,CCL21,CXCR3,0.17430043,0.0,-0.020870037,0.04746267654030601,0.26946987980635173,-0.0032578683,,0.27040657037224036,
Activated CD8 T cells,Activated CD8 T cells,CCL3,CCR3,0.06476169,1.0,-0.0028664342,-0.05581407797010664,-0.7101386039325852,0.0029145754,,1.0,
Activated CD8 T cells,Activated CD8 T cells,CCL3,CCR5,0.3429997,0.0,0.07993083,0.07566808883992027,0.9766360307219955,0.0029827436,0.9151672,0.02062070301218997,
Activated CD8 T cells,Activated CD8 T cells,CCL4,CCR3,0.60602653,0.0,-0.023721537,0.32345824962018255,0.05358782900551218,0.025115887,,0.002044617281710414,
