Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,3.53318539173671e-11,1.3426104488599498e-09,0,0,12.649553571428571,304.42714384211,KLF10;CDKN1A;BCL2A1;GADD45B;TIPARP;GADD45A;TNFAIP3;TNF;TUBB2A;DNAJB4;NAMPT;TNFSF9;SGK1;IER5;IER3
MSigDB_Hallmark_2020,Apoptosis,0.00023326427189010926,0.004432021165912076,0,0,6.427971576227391,53.75930237257366,DNAJA1;CDKN1A;GADD45B;GADD45A;HSPB1;TNF;IER3
MSigDB_Hallmark_2020,Androgen Response,0.0005708561652591094,0.007230844759948718,0,0,8.41069330199765,62.81419712090977,HMGCS1;INSIG1;SGK1;ELL2;SLC38A2
MSigDB_Hallmark_2020,Inflammatory Response,0.0019839865232668297,0.01372389844787374,0,0,6.2227550130775935,38.72200820496724,CDKN1A;NAMPT;TNFSF9;CCR7;CD55
MSigDB_Hallmark_2020,p53 Pathway,0.002068569260035644,0.01372389844787374,0,0,5.019001325673885,31.02193570458259,CDKN1A;GADD45A;TNFSF9;TOB1;IER5;IER3
MSigDB_Hallmark_2020,mTORC1 Signaling,0.002166931333874801,0.01372389844787374,0,0,4.286892361111111,26.297697882856813,CDKN1A;HMGCS1;TFRC;INSIG1;NAMPT;HSPE1;GLA
MSigDB_Hallmark_2020,UV Response Up,0.003453937976401665,0.018749949014751896,0,0,5.4253901789113055,30.752415019073705,DNAJA1;DNAJB1;TFRC;AMD1;HSPA2
MSigDB_Hallmark_2020,Hypoxia,0.005045065084865291,0.02396405915311013,0,0,4.9324324324324325,26.089335464918864,CDKN1A;TIPARP;TNFAIP3;PLIN2;IER3
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.010493789117438814,0.04248947567348246,0,0,7.310271646859083,33.31270108317622,GADD45B;GADD45A;TNFAIP3
MSigDB_Hallmark_2020,Estrogen Response Early,0.011181440966705912,0.04248947567348246,0,0,4.993224043715847,22.437051899209987,KLF10;TIPARP;GLA;TOB1
MSigDB_Hallmark_2020,Adipogenesis,0.016055608880796674,0.055464830679115784,0,0,3.646718146718147,15.067134526838485,GADD45A;NABP1;PLIN2;ATP1B3;TOB1
MSigDB_Hallmark_2020,Unfolded Protein Response,0.02245494067428087,0.07110731213522276,0,0,3.9971929824561405,15.174322332480592,TUBB2A;BAG3;EIF2AK3;NABP1
MSigDB_Hallmark_2020,Estrogen Response Late,0.046809558323504856,0.12883977961221088,0,0,3.9577562326869806,12.117335052286855,SGK1;GLA;TOB1
MSigDB_Hallmark_2020,Spermatogenesis,0.04746728722555137,0.12883977961221088,0,0,6.220779220779221,18.959159002519584,HSPA2;SIRT1
MSigDB_Hallmark_2020,Myogenesis,0.0885357541373149,0.2242905771478644,0,0,4.257513914656772,10.321698779798204,CDKN1A;GADD45B
MSigDB_Hallmark_2020,Fatty Acid Metabolism,0.10123769390441927,0.2255039612315156,0,0,2.8085526315789475,6.432383498094824,HSP90AA1;HSPH1;HMGCS1
MSigDB_Hallmark_2020,Apical Surface,0.103105253729996,0.2255039612315156,0,0,10.558608058608058,23.98920958044926,HSPB1
MSigDB_Hallmark_2020,Complement,0.10681766584650738,0.2255039612315156,0,0,2.7390885750962775,6.126333036243698,TNFAIP3;CD55;HSPA1A
MSigDB_Hallmark_2020,E2F Targets,0.17516010206524685,0.3503202041304937,0,0,2.151315789473684,3.7477101142964764,CDKN1A;TFRC;CKS2
MSigDB_Hallmark_2020,KRAS Signaling Dn,0.2065900876876967,0.39252116660662373,0,0,4.612179487179487,7.273493306998736,SGK1
MSigDB_Hallmark_2020,Interferon Gamma Response,0.27085202151695925,0.49011318179259294,0,0,1.6997790277219766,2.22022188045828,CDKN1A;NAMPT;TNFAIP3
MSigDB_Hallmark_2020,heme Metabolism,0.3141035759678651,0.5034997012544928,0,0,1.8023439974659488,2.087172903068339,TFRC;ELL2
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.3290633102588144,0.5034997012544928,0,0,1.7378151260504202,1.9315904003683635,GADD45B;PLIN2
MSigDB_Hallmark_2020,TGF-beta Signaling,0.34459574452137437,0.5034997012544928,0,0,2.453846153846154,2.614286722899516,KLF10
MSigDB_Hallmark_2020,Allograft Rejection,0.37822665292835056,0.5034997012544928,0,0,1.552153110047847,1.5090989471428211,SRGN;TNF
MSigDB_Hallmark_2020,Cholesterol Homeostasis,0.37947199984357716,0.5034997012544928,0,0,2.163650075414781,2.0965216776730946,HMGCS1
MSigDB_Hallmark_2020,Myc Targets V2,0.387900752426322,0.5034997012544928,0,0,2.1014652014652015,1.9900996603037688,HSPE1
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,0.39621644517339544,0.5034997012544928,0,0,2.0427350427350426,1.8911531500861698,TNF
MSigDB_Hallmark_2020,Myc Targets V1,0.39701457294248693,0.5034997012544928,0,0,1.3413875598086125,1.239150073527971,HDDC2;HSP90AB1;HSPE1
MSigDB_Hallmark_2020,G2-M Checkpoint,0.3974997641482838,0.5034997012544928,0,0,1.4883903974813066,1.3731308415462942,AMD1;CKS2
