Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.00042391039766800806,0.010131036743583163,0,0,12.863546473302572,99.89815335468015,IL32;FN1;VIM;CTHRC1
MSigDB_Hallmark_2020,Apical Junction,0.0007793105187371665,0.010131036743583163,0,0,10.857620507105043,77.70908636678915,GRB7;FSCN1;MSN;SORBS3
MSigDB_Hallmark_2020,Myogenesis,0.004842346562526024,0.04192604255113555,0,0,9.630592105263158,51.334482955465745,MRAS;SPHK1;SORBS3
MSigDB_Hallmark_2020,UV Response Dn,0.006450160392482392,0.04192604255113555,0,0,8.648728562980486,43.621162250706384,EFEMP1;CAV1;ERBB2
MSigDB_Hallmark_2020,Coagulation,0.022464995920186918,0.11681797878497198,0,0,9.29249762583096,35.272433849279246,C1S;FN1
MSigDB_Hallmark_2020,Interferon Alpha Response,0.039474943022256286,0.15414259434487185,0,0,6.767151767151767,21.872037885773665,LGALS3BP;C1S
MSigDB_Hallmark_2020,mTORC1 Signaling,0.041499929246696265,0.15414259434487185,0,0,4.165660051768766,13.255395040108743,SQLE;XBP1;DDIT4
MSigDB_Hallmark_2020,Unfolded Protein Response,0.06902654399792145,0.21066356357874147,0,0,4.895424836601308,13.086763728115514,XBP1;DDIT4
MSigDB_Hallmark_2020,Complement,0.0821334919720242,0.21066356357874147,0,0,4.413886997957794,11.032110673162986,C1S;FN1
MSigDB_Hallmark_2020,Apoptosis,0.08832846202143396,0.21066356357874147,0,0,4.224684919600174,10.25201285735643,CAV1;ERBB2
MSigDB_Hallmark_2020,Estrogen Response Late,0.09466015804334903,0.21066356357874147,0,0,4.050865124035855,9.549760941022491,XBP1;CAV1
MSigDB_Hallmark_2020,Hypoxia,0.09722933703634222,0.21066356357874147,0,0,3.9852307692307694,9.28830877477202,CAV1;DDIT4
MSigDB_Hallmark_2020,Interferon Gamma Response,0.11574974667398932,0.23149949334797865,0,0,3.578675521121564,7.7167866863768335,LGALS3BP;C1S
MSigDB_Hallmark_2020,p53 Pathway,0.13791775075096155,0.24760784593230661,0,0,3.203970223325062,6.347378298409398,SPHK1;DDIT4
MSigDB_Hallmark_2020,KRAS Signaling Dn,0.1428506803455615,0.24760784593230661,0,0,6.807638888888889,13.24736157307457,CAMK1D
MSigDB_Hallmark_2020,G2-M Checkpoint,0.17568781991954063,0.28549270736925353,0,0,2.736364924210228,4.758666143417096,SQLE;RAD21
MSigDB_Hallmark_2020,Cholesterol Homeostasis,0.22139770109418544,0.33860824873228357,0,0,4.1440677966101696,6.2484032208769555,SQLE
MSigDB_Hallmark_2020,Inflammatory Response,0.29290657079923693,0.42308726893223114,0,0,2.9746951219512194,3.652632875386206,SPHK1
MSigDB_Hallmark_2020,UV Response Up,0.3713491992037449,0.4886880104613303,0,0,2.2111363636363635,2.1903791470400056,STARD3
MSigDB_Hallmark_2020,Estrogen Response Early,0.39470954691107446,0.4886880104613303,0,0,2.042016806722689,1.8982692558671157,XBP1
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.39470954691107446,0.4886880104613303,0,0,2.042016806722689,1.8982692558671157,XBP1
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.45753880180923306,0.5249346415125155,0,0,1.6713793103448276,1.3068407611364188,SPHK1
MSigDB_Hallmark_2020,Glycolysis,0.4643652597995329,0.5249346415125155,0,0,1.6369932432432432,1.2557110607725535,DDIT4
MSigDB_Hallmark_2020,Mitotic Spindle,0.5301747928012184,0.5572433263458418,0,0,1.3491620111731844,0.8561087696659091,FSCN1
MSigDB_Hallmark_2020,E2F Targets,0.5553614090282007,0.5572433263458418,0,0,1.2561197916666667,0.7387695081128172,RAD21
MSigDB_Hallmark_2020,Myc Targets V1,0.5572433263458418,0.5572433263458418,0,0,1.2494818652849742,0.7306386225724397,PSMD3
