Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.0004011416456226019,0.007621691266829436,0,0,14.552287581699346,113.81629287257762,GADD45A;CCL5;IRS2;SGK1
MSigDB_Hallmark_2020,p53 Pathway,0.0037680991626391305,0.03188915923593311,0,0,11.448717948717949,63.89740836884841,GADD45A;MKNK2;TOB1
MSigDB_Hallmark_2020,Myogenesis,0.005035130405673649,0.03188915923593311,0,0,22.295566502463053,117.97288449303528,EIF4A2;IGFBP7
MSigDB_Hallmark_2020,Androgen Response,0.010869883505293174,0.05036841511356265,0,0,14.646103896103897,66.22615642760866,SGK1;ELL2
MSigDB_Hallmark_2020,Estrogen Response Late,0.013254846082516487,0.05036841511356265,0,0,13.137026239067055,56.79651482023434,SGK1;TOB1
MSigDB_Hallmark_2020,Inflammatory Response,0.01750036792240519,0.055417831754283095,0,0,11.273182957393484,45.606037886879136,CCL5;CD55
MSigDB_Hallmark_2020,heme Metabolism,0.026797028450948748,0.07273479150971804,0,0,8.89484126984127,32.19456021962738,ACP5;ELL2
MSigDB_Hallmark_2020,Complement,0.032417615050984304,0.07631466907759236,0,0,7.991071428571429,27.401810088480275,CCL5;CD55
MSigDB_Hallmark_2020,Adipogenesis,0.03614905377359638,0.07631466907759236,0,0,7.512605042016807,24.942633849726224,GADD45A;TOB1
MSigDB_Hallmark_2020,KRAS Signaling Dn,0.04125313922945394,0.0783809645359625,0,0,27.53939393939394,87.79636081497466,SGK1
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.1064826693374188,0.1839246106737234,0,0,9.729032258064516,21.79082412091173,GADD45A
MSigDB_Hallmark_2020,Estrogen Response Early,0.149641962305016,0.23693310698294198,0,0,6.681481481481481,12.691539259157418,TOB1
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,0.18507216401948706,0.2669264595959392,0,0,5.260818713450292,8.875050906331278,MKNK2
MSigDB_Hallmark_2020,Glycolysis,0.19942226569670285,0.2669264595959392,0,0,4.831182795698925,7.789464649048538,IRS2
MSigDB_Hallmark_2020,Unfolded Protein Response,0.21073141547047833,0.2669264595959392,0,0,4.534343434343435,7.060747505137157,EIF4A2
MSigDB_Hallmark_2020,Hypoxia,0.2356317434752422,0.2798126953768501,0,0,3.982222222222222,5.756242893744769,IRS2
MSigDB_Hallmark_2020,Apoptosis,0.25714522934813716,0.2873976092714474,0,0,3.5919678714859438,4.878302783966085,GADD45A
MSigDB_Hallmark_2020,Allograft Rejection,0.2984802579366979,0.3150624944887367,0,0,3.0006734006734006,3.627968633791282,CCL5
MSigDB_Hallmark_2020,Interferon Gamma Response,0.34240103958534923,0.34240103958534923,0,0,2.528774928774929,2.710271676553596,CCL5
