Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,7.957635132191847e-08,2.7851722962671465e-06,0,0,12.102220166512488,197.82953353483694,SOCS3;TUBB2A;CCL5;PLK2;FOS;SGK1;SOD2;GEM;CD44;MCL1
MSigDB_Hallmark_2020,Apoptosis,2.124236260752888e-06,3.717413456317554e-05,0,0,11.363636363636363,148.43293439652825,DNAJA1;ANXA1;LMNA;LEF1;PRF1;SOD2;CD44;MCL1
MSigDB_Hallmark_2020,UV Response Up,0.0008365891767415646,0.00976020706198492,0,0,7.696810067310507,54.54096182997115,DNAJA1;GRPEL1;FOS;SOD2;GLS
MSigDB_Hallmark_2020,Interferon Gamma Response,0.008364130072725726,0.0731861381363501,0,0,4.36567789508966,20.884542775987683,SOCS3;GZMA;CCL5;ARID5B;SOD2
MSigDB_Hallmark_2020,Complement,0.010506742343554962,0.07354719640488473,0,0,5.110029211295034,23.27995476968774,GZMA;CCL5;CD55;HSPA1A
MSigDB_Hallmark_2020,Androgen Response,0.013252252769521314,0.07730480782220767,0,0,6.644025157232704,28.72602558557073,ARID5B;SGK1;ELL2
MSigDB_Hallmark_2020,p53 Pathway,0.021021012075534654,0.09344161025168421,0,0,4.104395604395604,15.85213118987179,PLK3;PLK2;MKNK2;FOS
MSigDB_Hallmark_2020,Allograft Rejection,0.023112769073034802,0.09344161025168421,0,0,3.98019801980198,14.994878774872559,GZMA;CCL5;PRF1;CD247
MSigDB_Hallmark_2020,Estrogen Response Late,0.024027842636147368,0.09344161025168421,0,0,5.233366434955313,19.512826612746075,FOS;SGK1;CD44
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,0.038391414414104465,0.13436995044936562,0,0,7.0092592592592595,22.849634449130857,LSP1;SOD2
MSigDB_Hallmark_2020,Unfolded Protein Response,0.042538668656987515,0.13535030936314207,0,0,4.1312893081761,13.043892279978389,EIF4A2;TUBB2A;EIF4A3
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.05081647762861829,0.1403506156134139,0,0,5.941638608305275,17.703317898654415,GEM;CD44
MSigDB_Hallmark_2020,Myogenesis,0.05345437834373989,0.1403506156134139,0,0,5.765795206971678,16.887591702035547,EIF4A2;LSP1
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,0.05614024624536555,0.1403506156134139,0,0,5.6,16.12745300199618,SOCS3;CD44
MSigDB_Hallmark_2020,Estrogen Response Early,0.10138464072460614,0.23656416169074768,0,0,3.908888888888889,8.94679650681456,FOS;CD44
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,0.10875944831355673,0.23791129318590534,0,0,9.667272727272728,21.44797302305086,LEF1
MSigDB_Hallmark_2020,KRAS Signaling Dn,0.12724561836407575,0.24992426830101924,0,0,8.053030303030303,16.60241764432425,SGK1
MSigDB_Hallmark_2020,Inflammatory Response,0.12853248084052418,0.24992426830101924,0,0,3.364623243933589,6.902772347039616,CCL5;CD55
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,0.13911825667621242,0.2562704728246018,0,0,3.1973284760170007,6.3065096117401,MKNK2;AP2M1
MSigDB_Hallmark_2020,Fatty Acid Metabolism,0.19822402760694133,0.3468920483121473,0,0,2.525252525252525,4.086761200346785,HSP90AA1;HSPH1
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.24044908173958476,0.39217872290423206,0,0,2.20496632996633,3.1426214929575664,IKZF2;CD44
MSigDB_Hallmark_2020,Coagulation,0.24651234011123158,0.39217872290423206,0,0,3.706993006993007,5.191062544130389,ANXA1
MSigDB_Hallmark_2020,Myc Targets V2,0.26218767943414184,0.3989812513128246,0,0,3.440909090909091,4.606326756119284,HSPD1
MSigDB_Hallmark_2020,Apical Junction,0.36997232247557177,0.5179612514658004,0,0,2.234249471458774,2.2215747535323205,ARPC2
MSigDB_Hallmark_2020,Pperoxisome,0.36997232247557177,0.5179612514658004,0,0,2.234249471458774,2.2215747535323205,SOD2
MSigDB_Hallmark_2020,Protein Secretion,0.5058976244093168,0.6642366868601144,0,0,1.4493112947658402,0.9875910843491603,AP2M1
MSigDB_Hallmark_2020,Myc Targets V1,0.5294252712173396,0.6642366868601144,0,0,1.1443779108449768,0.7277823008404113,HSP90AB1;HSPD1
MSigDB_Hallmark_2020,Glycolysis,0.5313893494880915,0.6642366868601144,0,0,1.3459667093469911,0.8510012995871562,CD44
MSigDB_Hallmark_2020,Hypoxia,0.5508487135668553,0.664817412925515,0,0,1.2732121212121212,0.7592101167475421,FOS
MSigDB_Hallmark_2020,heme Metabolism,0.5740597977559045,0.6681350890540351,0,0,1.1925,0.6618633901451596,ELL2
MSigDB_Hallmark_2020,Mitotic Spindle,0.5917767931621453,0.6681350890540351,0,0,1.1348484848484848,0.5953707417812211,EZR
MSigDB_Hallmark_2020,Adipogenesis,0.625066913779651,0.6713251414287478,0,0,1.034584980237154,0.4861479366172828,GRPEL1
MSigDB_Hallmark_2020,G2-M Checkpoint,0.6329637047756765,0.6713251414287478,0,0,1.0121856866537717,0.4629152256140023,HSPA8
MSigDB_Hallmark_2020,mTORC1 Signaling,0.733550774582283,0.7551257973641148,0,0,0.7629032258064516,0.23639201979160523,HSPD1
MSigDB_Hallmark_2020,Oxidative Phosphorylation,0.7940492337641224,0.7940492337641224,0,0,0.6362407862407863,0.14672336835479866,GRPEL1
