Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Estrogen Response Early,2.679680834682139e-08,8.895846661841032e-07,0,0,5.363912373300948,93.51972129977099,CA12;LAD1;XBP1;SLC22A5;EGR3;ELOVL5;IGFBP4;SEMA3B;KLF4;TOB1;THSD4;SEC14L2;OLFM1;FAM102A;MLPH;STC2;SLC39A6;ANXA9;IL6ST
MSigDB_Hallmark_2020,Estrogen Response Late,4.0435666644731964e-08,8.895846661841032e-07,0,0,5.522768762677485,94.01715007233776,CA12;XBP1;SLC22A5;EGR3;ELOVL5;IGFBP4;SEMA3B;KLF4;TOB1;KLK11;CDC20;OLFM1;FAM102A;FABP5;ACOX2;IMPA2;ANXA9;IL6ST
MSigDB_Hallmark_2020,E2F Targets,1.3226241182993488e-07,1.939848706839045e-06,0,0,5.062918838421445,80.18892822977747,CDKN2A;RFC2;HMGB3;CTPS1;CKS1B;CDC20;RAD51AP1;CCNB2;WEE1;ORC6;UBE2T;CHEK1;STMN1;MYBL2;TK1;TRIP13;CDKN3;MCM2
MSigDB_Hallmark_2020,mTORC1 Signaling,6.1195426033825905e-06,6.185287153907233e-05,0,0,4.172936552498596,50.09202719767874,XBP1;BTG2;TOMM40;ELOVL5;ENO1;UCHL5;SYTL2;MLLT11;PSAT1;PGK1;ME1;TRIB3;CTSC;FADS1;PGM1;MCM2
MSigDB_Hallmark_2020,G2-M Checkpoint,7.028735402167311e-06,6.185287153907233e-05,0,0,4.369054786273329,51.84103596890509,DTYMK;HMGB3;CKS1B;CDC20;TPX2;PURA;CCNB2;CENPF;ORC6;CHEK1;STMN1;NUSAP1;MYBL2;CDKN3;MCM2
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,5.219191028734608e-05,0.0003493049162704254,0,0,3.8316123188405795,37.78193148695444,KDM6B;DUSP5;BTG2;EGR3;LIF;TAP1;KLF4;NR4A1;CCL5;ZC3H12A;MAFF;SLC16A6;MAP3K8;IL6ST
MSigDB_Hallmark_2020,p53 Pathway,5.557123667938586e-05,0.0003493049162704254,0,0,3.807498424700693,37.3052787041991,PLK3;BTG2;CDKN2A;LIF;WWP1;TAP1;KLF4;TOB1;KIF13B;HMOX1;TRIB3;UPP1;BAK1;ADA
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,0.001961730401498103,0.010789517208239566,0,0,5.0517812758906375,31.49244244972901,CSF3R;HMOX1;MAP3K8;BAK1;IL6ST;IL2RG
MSigDB_Hallmark_2020,UV Response Up,0.0024648410795621548,0.012050334166748312,0,0,3.3491839489507913,20.113952714525976,OLFM1;NR4A1;BTG2;AP2S1;TAP1;HMOX1;BAK1;IL6ST;BID
MSigDB_Hallmark_2020,Xenobiotic Metabolism,0.003381146901299384,0.01487704636571729,0,0,3.182894813604807,18.10920833536636,MCCC2;POR;ACOX2;ELOVL5;IGFBP4;HMOX1;UPP1;ESR1;FBP1
MSigDB_Hallmark_2020,Hypoxia,0.004430731463978728,0.017722925855914912,0,0,2.841635338345865,15.399363492973116,CA12;SRPX;STC2;CCNG2;MAFF;PGK1;HMOX1;ENO1;FBP1;PGM1
MSigDB_Hallmark_2020,Unfolded Protein Response,0.011474037566066693,0.04207147107557787,0,0,3.0349073776635613,13.558959784445756,XBP1;PSAT1;STC2;EIF4EBP1;PDIA6;PDIA5;CKS1B
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.012624772776037081,0.04273000016504858,0,0,2.728807835190814,11.930605187273324,COL1A2;SERPINE2;IGFBP4;CALU;PCOLCE;DKK1;MATN3;CTHRC1
MSigDB_Hallmark_2020,Allograft Rejection,0.014518951372908864,0.04563099002914214,0,0,2.887809187279152,12.22207624322867,TLR1;CDKN2A;CCL5;LIF;TAP1;IL2RG;CD3D
