Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Estrogen Response Early,1.084539267277621e-09,4.9888806294770565e-08,0,0,4.4670880149812735,92.21012476954753,SLC22A5;SEMA3B;ABAT;ADCY1;CELSR1;PAPSS2;THSD4;SEC14L2;GJA1;FAM102A;SLC39A6;CA12;SVIL;KDM4B;SIAH2;ELOVL2;TPBG;GREB1;SNX24;GFRA1;DHRS2;MLPH;ESRP2;BHLHE40;RARA;TFF1;MAPT;SLC27A2
MSigDB_Hallmark_2020,Estrogen Response Late,3.3080480409307606e-05,0.0007608510494140749,0,0,3.0851425078667964,31.828079896815296,CA12;SLC22A5;ST6GALNAC2;SIAH2;TPBG;IDH2;SEMA3B;SORD;DHRS2;PAPSS2;SERPINA5;CDC20;FAM102A;GAL;DLG5;NMU;TFF1;MAPT;SGK1;SLC27A2
MSigDB_Hallmark_2020,Hedgehog Signaling,0.011383845002533158,0.14748065526215864,0,0,5.196000754574609,23.255013312070417,ADGRG1;CDK6;VLDLR;CELSR1
MSigDB_Hallmark_2020,Spermatogenesis,0.016748652200289257,0.14748065526215864,0,0,2.83887165854379,11.609388188620333,TLE4;CCNB2;NPHP1;TEKT2;YBX2;PCSK4;CHFR
MSigDB_Hallmark_2020,mTORC1 Signaling,0.018180924162323645,0.14748065526215864,0,0,1.964988246938018,7.874459233501004,CYB5B;BTG2;RRM2;HMGCS1;SORD;AK4;ENO1;VLDLR;TM7SF2;SQLE;PPA1;BHLHE40;FDXR;PHGDH
MSigDB_Hallmark_2020,Coagulation,0.01923660720810765,0.14748065526215864,0,0,2.53873923910025,10.030406891257941,CFD;THBD;F8;ANXA1;LRP1;MMP15;ANG;TIMP1
MSigDB_Hallmark_2020,UV Response Dn,0.0249238138887096,0.1637850626972345,0,0,2.154379332073094,7.953821029936629,GJA1;CDKN1B;ANXA2;IRS1;BHLHE40;ERBB2;APBB2;VLDLR;TFPI;RND3
MSigDB_Hallmark_2020,KRAS Signaling Up,0.04283223555850882,0.24628535446142572,0,0,1.9491041880634485,6.140583147104864,ALDH1A3;GYPC;GPNMB;MALL;SEMA3B;G0S2;SPRY2;TFPI;ETV5;MPZL2
MSigDB_Hallmark_2020,Apoptosis,0.050367394481068216,0.2567744749140313,0,0,1.8890363978316185,5.645217619457863,BTG2;CDKN1B;ANXA1;LEF1;ERBB2;FDXR;PSEN2;RARA;TXNIP;TIMP1
MSigDB_Hallmark_2020,Pperoxisome,0.0568389851685713,0.2567744749140313,0,0,2.1348014681348015,6.121613295600375,CADM1;SEMA3C;ACSL1;IDH2;CTPS1;PABPC1;SLC27A2
MSigDB_Hallmark_2020,Myogenesis,0.06409517713183316,0.2567744749140313,0,0,1.8698314768945552,5.137149116738084,CFD;SVIL;ACSL1;TNNT1;GAA;BHLHE40;PSEN2;DMD;CRYAB
MSigDB_Hallmark_2020,Hypoxia,0.06842242614200301,0.2567744749140313,0,0,1.7225642674998276,4.620011487237224,CA12;CDKN1B;ANXA2;SIAH2;GAA;TPBG;BHLHE40;AK4;ENO1;VLDLR;B4GALNT2
MSigDB_Hallmark_2020,Angiogenesis,0.07256669943222625,0.2567744749140313,0,0,3.3588388355830214,8.811071113330533,THBD;TIMP1;SERPINA5
MSigDB_Hallmark_2020,G2-M Checkpoint,0.08813237413444822,0.27277711169817925,0,0,1.6385870159403495,3.9799891442335418,CDC20;SQLE;CCNB2;CDKN1B;CHMP1A;ODC1;HMGA1;E2F1;DMD;KIF22;E2F4
MSigDB_Hallmark_2020,Bile Acid Metabolism,0.08894905816244975,0.27277711169817925,0,0,2.0278900167537204,4.906868141810449,PEX19;ACSL1;IDH2;FDXR;SLC27A2;GNMT
MSigDB_Hallmark_2020,E2F Targets,0.11406276613235389,0.3135690010354553,0,0,1.553290121856365,3.3722027987024865,CDC20;CCNB2;CDKN1B;RRM2;CCNE1;DSCC1;DEPDC1;HMGA1;CTPS1;NAA38;KIF22
MSigDB_Hallmark_2020,Cholesterol Homeostasis,0.11588419603484218,0.3135690010354553,0,0,2.0204844453600965,4.354475130208417,SQLE;HMGCS1;SEMA3B;MVD;TM7SF2
MSigDB_Hallmark_2020,Complement,0.13075970648526833,0.33416369435124127,0,0,1.5869155257039524,3.2284113316587537,LYN;CDA;F7;F8;LRP1;MMP15;ANG;GATA3;TIMP1
