Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,heme Metabolism,0.02232561296024538,0.23536536221015708,0,0,9.955244755244756,37.850046596874364,UCP2;ELL2
MSigDB_Hallmark_2020,Adipogenesis,0.033623623172879584,0.23536536221015708,0,0,7.9041248606466,26.81495216718862,UCP2;TOB1
MSigDB_Hallmark_2020,Allograft Rejection,0.053886953221158475,0.2514724483654062,0,0,6.023931623931624,17.59510240166151,SIT1;CCL5
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,0.09491204910143175,0.2729980268162639,0,0,11.152173913043478,26.261190599171755,IPCEF1
MSigDB_Hallmark_2020,TGF-beta Signaling,0.09867801208587948,0.2729980268162639,0,0,10.68452380952381,24.744215315361973,FKBP1A
MSigDB_Hallmark_2020,Estrogen Response Early,0.13191966908347882,0.2729980268162639,0,0,7.751082251082251,15.700298513065958,TOB1
MSigDB_Hallmark_2020,Estrogen Response Late,0.15344121061515,0.2729980268162639,0,0,6.5476190476190474,12.273104499140267,TOB1
MSigDB_Hallmark_2020,Androgen Response,0.16751111525986365,0.2729980268162639,0,0,5.931893687707642,10.598547493414383,ELL2
MSigDB_Hallmark_2020,Fatty Acid Metabolism,0.19160959129196947,0.2729980268162639,0,0,5.091428571428572,8.412543782771294,GLUL
MSigDB_Hallmark_2020,Inflammatory Response,0.19499859058304567,0.2729980268162639,0,0,4.990196078431373,8.157787653391136,CCL5
MSigDB_Hallmark_2020,Complement,0.24745105943540693,0.31066550713082036,0,0,3.781449893390192,5.280955322041944,CCL5
MSigDB_Hallmark_2020,p53 Pathway,0.266284720397846,0.31066550713082036,0,0,3.464774951076321,4.584552675156588,TOB1
MSigDB_Hallmark_2020,Interferon Gamma Response,0.3085328178451773,0.3259345888733279,0,0,2.8957307060755335,3.40516810310782,CCL5
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.3259345888733279,0.3259345888733279,0,0,2.704301075268817,3.0316798837847863,CCL5
