Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.00018262655586570454,0.003104651449716977,0,0,17.281777777777776,148.7627039017423,CCL5;KLF9;IL7R;IL6ST
MSigDB_Hallmark_2020,Estrogen Response Early,0.016366391538878988,0.05980073876015924,0,0,11.38031450203844,46.801831803707316,CISH;IL6ST
MSigDB_Hallmark_2020,Estrogen Response Late,0.016366391538878988,0.05980073876015924,0,0,11.38031450203844,46.801831803707316,CISH;IL6ST
MSigDB_Hallmark_2020,UV Response Up,0.016972637239604533,0.05980073876015924,0,0,11.157053112507139,45.47785334926174,CDKN1C;IL6ST
MSigDB_Hallmark_2020,Inflammatory Response,0.017588452576517425,0.05980073876015924,0,0,10.942296918767507,44.212489622315736,CCL5;IL7R
MSigDB_Hallmark_2020,Complement,0.023198871205889027,0.06506263192604218,0,0,9.40115718418515,35.382680808449315,CCL5;GZMB
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.030226751468095506,0.06506263192604218,0,0,8.118481435127242,28.406793343448964,CDKN1C;CISH
MSigDB_Hallmark_2020,Allograft Rejection,0.03061770914166691,0.06506263192604218,0,0,8.060480530240266,28.10025947419828,CCL5;GZMB
MSigDB_Hallmark_2020,Apical Surface,0.03776484469276299,0.07133359553077454,0,0,28.80701754385965,94.38263945507224,SULF2
MSigDB_Hallmark_2020,TGF-beta Signaling,0.07596183809089628,0.12913512475452368,0,0,13.654166666666667,35.19394494846866,CDKN1C
MSigDB_Hallmark_2020,Spermatogenesis,0.09364175736557612,0.13761368075517333,0,0,10.912222222222223,25.843185305803534,TLE4
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,0.09713906876835764,0.13761368075517333,0,0,10.490384615384615,24.45950275772284,IL6ST
MSigDB_Hallmark_2020,Androgen Response,0.13979070978298944,0.1828032358700631,0,0,7.066378066378066,13.903868409624074,ELL2
MSigDB_Hallmark_2020,KRAS Signaling Up,0.17092172893177496,0.20754781370286957,0,0,5.656828703703703,9.993068216867336,IL7R
MSigDB_Hallmark_2020,Hypoxia,0.20253660168024282,0.22954148190427517,0,0,4.671934865900383,7.4603075218728465,CDKN1C
MSigDB_Hallmark_2020,heme Metabolism,0.22247009934884687,0.2363744805581498,0,0,4.195521102497847,6.305711184385634,ELL2
MSigDB_Hallmark_2020,Interferon Gamma Response,0.2738175039536169,0.2738175039536169,0,0,3.288279132791328,4.259286384545291,CCL5
